"m_id","temperature","humidity","m_name","winddirection","windspeed","m_date","lat","lot"
"0",,,"WT1","273.29","4.28","2023-04-11 11:28:03","35.456703","129.328354"
"1",,,"WT2","178.73","2.55","2023-04-11 11:28:03","35.456997","129.328217"
"2",,,"WT3","178.04","3.95","2023-04-11 11:28:03","35.456944","129.32666"
"3",,,"WT4","253.5","4.4","2023-04-11 11:28:03","35.455063","129.327988"
"4",,,"WT5","216.19","6.54","2023-04-11 11:28:03","35.45512","129.330215"
"5",,,"WT6","269.45","5.78","2023-04-11 11:28:03","35.455124","129.330612"
"6",,,"WT7","202.24","4.28","2023-04-11 11:28:03","35.455727","129.329498"
"7",,,"WT8","196.53","3.54","2023-04-11 11:28:03","35.456108","129.3302"
"8",,,"WT1","295.29","2.82","2023-04-11 11:26:57","35.456703","129.328354"
"9",,,"WT2","249.57","3","2023-04-11 11:26:57","35.456997","129.328217"
"10",,,"WT3","289.08","1.85","2023-04-11 11:26:57","35.456944","129.32666"
"11",,,"WT4","5.5","2.4","2023-04-11 11:26:57","35.455063","129.327988"
"12",,,"WT5","228.24","7.1","2023-04-11 11:26:57","35.45512","129.330215"
"13",,,"WT6","270.07","6.98","2023-04-11 11:26:57","35.455124","129.330612"
"14",,,"WT7","230.07","3.74","2023-04-11 11:26:57","35.455727","129.329498"
"15",,,"WT8","226.72","2.98","2023-04-11 11:26:57","35.456108","129.3302"
"16",,,"WT3","64","1.4","2023-04-11 11:26:17","35.456944","129.326667"
"17",,,"WT4","295","1.9","2023-04-11 11:25:51","35.455063","129.327988"
"18",,,"WT5","260.16","5.72","2023-04-11 11:25:51","35.45512","129.330215"
"19",,,"WT6","10","0.3","2023-04-11 11:25:51","35.455124","129.330612"
"20",,,"WT7","176.93","3.15","2023-04-11 11:25:51","35.455727","129.329498"
"21",,,"WT8","194.87","2.72","2023-04-11 11:25:51","35.456108","129.3302"
"24",,,"WT1","232.1","2.38","2023-04-11 11:24:50","35.456703","129.328354"
"25",,,"WT2","158.52","0.7","2023-04-11 11:24:50","35.456997","129.328217"
"26",,,"WT3","247.23","3.4","2023-04-11 11:24:50","35.456944","129.326667"
"27",,,"WT4","10","3.15","2023-04-11 11:24:50","35.455063","129.327988"
"28",,,"WT5","224.74","3.62","2023-04-11 11:24:50","35.45512","129.330215"
"29",,,"WT6","299.34","5.03","2023-04-11 11:24:50","35.455124","129.330612"
"30",,,"WT7","212.33","4.1","2023-04-11 11:24:50","35.455727","129.329498"
"31",,,"WT8","237.22","3.12","2023-04-11 11:24:50","35.456108","129.3302"
"32",,,"WT1","261.7","3.08","2023-04-11 11:23:44","35.456703","129.328354"
"33",,,"WT2","78","2.1","2023-04-11 11:23:44","35.456997","129.328217"
"34",,,"WT3","213.51","3.66","2023-04-11 11:23:44","35.456944","129.326667"
"35",,,"WT4","2.5","2.25","2023-04-11 11:23:44","35.455063","129.327988"
"36",,,"WT5","230.84","5.02","2023-04-11 11:23:44","35.45512","129.330215"
"37",,,"WT6","301.67","3.13","2023-04-11 11:23:44","35.455124","129.330612"
"38",,,"WT7","222.79","1.6","2023-04-11 11:23:44","35.455727","129.329498"
"39",,,"WT8","240.93","2.13","2023-04-11 11:23:44","35.456108","129.3302"
"40",,,"WT1","231.28","3.4","2023-04-11 11:22:38","35.456703","129.328354"
"41",,,"WT2","233.53","4.1","2023-04-11 11:22:38","35.456997","129.328217"
"42",,,"WT3","263.25","2.1","2023-04-11 11:22:38","35.456944","129.326667"
"43",,,"WT4","277.5","3.25","2023-04-11 11:22:38","35.455063","129.327988"
"44",,,"WT5","258.79","3.8","2023-04-11 11:22:38","35.45512","129.330215"
"45",,,"WT6","287.03","1.8","2023-04-11 11:22:38","35.455124","129.330612"
"46",,,"WT7","198.84","3.05","2023-04-11 11:22:38","35.455727","129.329498"
"47",,,"WT8","220.61","3.3","2023-04-11 11:22:38","35.456108","129.3302"
"48",,,"WT1","213.33","4.9","2023-04-11 11:21:32","35.456703","129.328354"
"49",,,"WT2","214.55","1.9","2023-04-11 11:21:32","35.456997","129.328217"
"50",,,"WT3","204.95","2.75","2023-04-11 11:21:32","35.456944","129.326667"
"51",,,"WT4","313","1.3","2023-04-11 11:21:32","35.455063","129.327988"
"52",,,"WT5","225.5","5.62","2023-04-11 11:21:32","35.45512","129.330215"
